Country,State,City,District,Zip Code
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Danurejan,55211
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Gedongtengen,55271
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Gondokusuman,55222
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Gondomanan,55121
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Jetis,55231
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Kotagede,55171
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Kraton,55131
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Mantrijeron,55141
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Mergangsan,55151
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Ngampilan,55261
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Pakualaman,55112
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Tegalrejo,55243
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Umbulharjo,55161
Indonesia,D.I Yogyakarta,Kota Yogyakarta,Wirobrajan,55252
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Berbah,55573
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Cangkringan,55583
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Depok,55281
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Gamping,55291
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Godean,55264
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Kalasan,55571
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Minggir,55562
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Mlati,55287
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Moyudan,55563
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Ngaglik,55581
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Ngemplak,55584
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Pakem,55582
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Prambanan,55572
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Seyegan,55561
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Sleman,55511
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Tempel,55552
Indonesia,D.I Yogyakarta,Kabupaten Sleman,Turi,55551
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Banguntapan,55191
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Bantul,55711
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Dlingo,55783
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Imogiri,55782
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Jetis,55781
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Kasihan,55182
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Kretek,55772
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Pajangan,55751
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Pandak,55761
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Piyungan,55792
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Pleret,55791
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Pundong,55771
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Sanden,55763
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Srandakan,55762
Indonesia,D.I Yogyakarta,Kabupaten Bantul,Sewon,55187
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Gedangsari,55863
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Girisubo,55883
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Karangmojo,55891
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Ngawen,55853
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Nglipar,55852
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Paliyan,55871
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Panggang,55872
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Patuk,55862
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Playen,55861
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Ponjong,55892
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Purwosari,55854
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Rongkop,55882
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Semanu,55861
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Semin,55854
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Saptosari,55871
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Tanjungsari,55881
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Tepus,55881
Indonesia,D.I Yogyakarta,Kabupaten Gunungkidul,Wonosari,55813
Indonesia,D.I Yogyakarta,Kabupaten Kulon Progo,Galur,55661
